Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"Washington Center for Equitable Growth — Automatic Stabilizers","Washington Center for Equitable Growth","Macroeconomic Policy","Macroeconomic Policy",10/2018,"$100,000"
"Washington Center for Equitable Growth — Macroeconomic Policy Research","Washington Center for Equitable Growth","Macroeconomic Policy","Macroeconomic Policy",11/2019,"$750,000"
"Washington University — Alzheimer’s Research (Brendan Lucey and David Holtzman)","Washington University","Alzheimer's Research","Scientific Research; Alzheimer's Research",12/2019,"$5,300,000"
"Washington University — Gut Microbiomes and Alzheimer’s Disease (2022)","Washington University in St. Louis","Alzheimer's Research","Scientific Research; Alzheimer's Research",11/2022,"$2,000,000"
"Washington University — Microbiome and Alzheimer&#8217;s (David Holtzman)","Washington University","Alzheimer's Research","Scientific Research; Alzheimer's Research",09/2018,"$1,726,594"
"Washington University in St. Louis — Gut Microbiome Repair Research","Washington University in St. Louis","Scientific Research","Scientific Research",12/2023,"$2,693,834"
"Washington University in St. Louis — Omega-3 Trial for Pregnant Women","Washington University in St. Louis","Scientific Research","Scientific Research",01/2023,"$1,500,000"
"Washington University in St. Louis — Research on Cryptosporidium Hominis","Washington University in St. Louis","Scientific Research","Scientific Research",11/2020,"$1,004,589"
"Washington University in St. Louis — Research on Cryptosporidium Hominis (2023)","Washington University in St. Louis","Scientific Research","Scientific Research",06/2023,"$1,200,000"
"Washington University in St. Louis — Research on Cryptosporidium Hominis (David Sibley)","Washington University in St. Louis","Scientific Research","Scientific Research",11/2020,"$1,154,589"
"Wavefront Security — Cybersecurity Services","Wavefront Security","Global Catastrophic Risks","Global Catastrophic Risks",09/2024,"$206,464"
"We Animals — Content for Farm Animal Welfare Advocacy","We Animals","Farm Animal Welfare","Farm Animal Welfare",02/2019,"$240,000"
"We Animals Media — Content for Farm Animal Welfare Advocacy (2020)","We Animals Media","Farm Animal Welfare","Farm Animal Welfare",06/2020,"$517,000"
"We Animals Media — Content for Farm Animal Welfare Advocacy (2022)","We Animals Media","Farm Animal Welfare","Farm Animal Welfare",09/2022,"$600,000"
"We Animals Media — Content for Farm Animal Welfare Advocacy (2024)","We Animals Media","Farm Animal Welfare","Farm Animal Welfare",06/2024,"$400,000"
"We Got Us Now — General Support","We Got Us Now","Criminal Justice Reform","Criminal Justice Reform",09/2017,"$100,000"
"We Got Us Now — General Support (2018)","We Got Us Now","Criminal Justice Reform","Criminal Justice Reform",06/2018,"$100,000"
"We Got Us Now — Leadership, Training, and Planning Support","We Got Us Now","Criminal Justice Reform","Criminal Justice Reform",08/2019,"$150,000"
"We Got Us Now — Leadership, Training, and Planning Support (2020)","We Got Us Now","Criminal Justice Reform","Criminal Justice Reform",09/2020,"$100,000"
"Weill Cornell Medical College — COVID-19 Antiviral Studies (Ria Goswami)","Weill Cornell Medical College","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",02/2021,"$220,553"
"Welfare Footprint Project — Research on Animal Welfare Reforms (2023)","Welfare Footprint Project","Farm Animal Welfare","Farm Animal Welfare",12/2022,"$1,250,000"
"Welfare Matters — Farm Animal Welfare Movement Building in Southeast Asia","Welfare Matters","Farm Animal Welfare","Farm Animal Welfare",06/2023,"$1,000,000"
"Wild Animal Initiative – Academic Field Building","Wild Animal Initiative","Farm Animal Welfare","Farm Animal Welfare",06/2023,"$2,500,000"
"Wild Animal Initiative — Animal Welfare Research","Wild Animal Initiative","Farm Animal Welfare","Farm Animal Welfare",06/2021,"$3,500,000"
"Williams College — Regulatory Affairs Position","Williams College","Farm Animal Welfare",,03/2024,"$176,000"
"Wilson Center — AI Policy Seminar Series (2018)","The Wilson Center","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",07/2018,"$400,000"
"Wilson Center — AI Policy Seminar Series (February 2020)","The Wilson Center","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",02/2020,"$368,440"
"Wilson Center — AI Policy Seminar Series (June 2020)","The Wilson Center","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",06/2020,"$496,540"
"Wilson Center — AI Policy Training Program","The Wilson Center","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",04/2021,"$291,214"
"Wilson Center — AI Policy Training Program (2022)","The Wilson Center","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2022,"$2,011,251"
"Wilton Park — Biological Weapons Convention Retreat","Wilton Park","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",09/2022,"$47,722"
"Wilton Park — Biological Weapons Convention Retreat (2024)","Wilton Park","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",08/2024,"$43,484"
"Wisdom Good Works — Rodenticide Alternative","Wisdom Good Works","Farm Animal Welfare","Farm Animal Welfare",06/2023,"$702,600"
"WITS Health Consortium — Tuberculosis Vaccine Preclinical Development and Testing","WITS Health Consortium","Scientific Research","Scientific Research",07/2024,"$696,742"
"Workers Center for Racial Justice — Prosecutor Accountability (2018)","Workers Center for Racial Justice","Criminal Justice Reform","Criminal Justice Reform",06/2018,"$125,000"
"Workers Center for Racial Justice — Prosecutorial Accountability","Workers Center for Racial Justice","Criminal Justice Reform","Criminal Justice Reform",03/2017,"$125,000"
"Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2019)","Workers Center for Racial Justice","Criminal Justice Reform","Criminal Justice Reform",07/2019,"$85,000"
"World Animal Net — Broiler Chicken and Pig Welfare Guidelines","World Animal Net","Farm Animal Welfare","Farm Animal Welfare",09/2020,"$37,600"
"World Animal Net — Co-Organizing Workshops with the World Bank","World Animal Net","Farm Animal Welfare","Farm Animal Welfare",10/2017,"$50,000"
"World Animal Protection — Broiler Chicken Welfare","World Animal Protection","Farm Animal Welfare","Farm Animal Welfare",03/2017,"$517,588"
"World Animal Protection — Broiler Chicken Welfare (April 2019)","World Animal Protection","Farm Animal Welfare","Farm Animal Welfare",04/2019,"$781,498"
"World Animal Protection — Broiler Chicken Welfare (August 2019)","World Animal Protection","Farm Animal Welfare","Farm Animal Welfare",08/2019,"$557,446"
"World Animal Protection — Farm Animal Welfare in Asia (2024)","World Animal Protection","Farm Animal Welfare","Farm Animal Welfare",12/2024,"$600,000"
"World Animal Protection — Farm Animal Welfare in Kenya","World Animal Protection","Farm Animal Welfare","Farm Animal Welfare",06/2023,"$138,000"
"World Animal Protection — Farm Animal Welfare in Southeast Asia","World Animal Protection","Farm Animal Welfare","Farm Animal Welfare",01/2020,"$400,000"
"World Animal Protection — Farm Animal Welfare in Southeast Asia (2022)","World Animal Protection","Global Health & Development","Global Health & Development; Farm Animal Welfare",03/2022,"$1,142,000"
"World Animal Protection — Farm Animal Welfare in Southeast Asia (2024)","World Animal Protection","Farm Animal Welfare","Farm Animal Welfare",08/2024,"$1,233,000"
"World Economic Forum — Global AI Council Workshop","World Economic Forum","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",04/2020,"$50,000"
"World Health Organization — Next-generation Malaria Vaccines","World Health Organization","Global Health and Wellbeing","Global Health and Wellbeing; Global Health R&amp;D",10/2024,"$359,053"
"World Health Organization — Responsible Life Sciences Research","World Health Organization","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",07/2023,"$900,000"
"World Health Organization — Syphilis Medication Trials","World Health Organization","Scientific Research","Scientific Research",04/2024,"$395,978"
"World Health Organization — Syphilis Treatment for Pregnant Women","World Health Organization","Scientific Research","Scientific Research",06/2024,"$583,544"
"World Heart Federation — Rheumatic Heart Disease Congress","World Heart Federation","Global Health & Development","Global Health & Development",03/2023,"$200,000"
"World Organisation for Animal Health — Animal Welfare Standards in Southeast Asia","World Organisation for Animal Health","Global Health & Development","Global Health & Development; Farm Animal Welfare",02/2022,"$515,000"
"World Resources Institute — City Government Support for Air Quality","World Resources Institute","South Asian Air Quality","South Asian Air Quality",01/2023,"$1,200,000"
"Worth Rises — General Support (2019)","Worth Rises","Criminal Justice Reform","Criminal Justice Reform",12/2019,"$300,000"
"Wren Collective — Criminal Justice Reform Communications Strategies","The Wren Collective","Criminal Justice Reform","Criminal Justice Reform",10/2021,"$250,000"
"Yale University — Blood-Brain Barrier Antibodies Research","Yale University","Alzheimer's Research","Scientific Research; Alzheimer's Research",06/2020,"$300,000"
"Yale University — Cardiovascular Disease Therapy Research","Yale University","Scientific Research","Scientific Research",11/2020,"$450,000"
"Yale University — Cardiovascular Research","Yale University","Scientific Research","Scientific Research",12/2022,"$400,000"
"Yale University — Helminth Vaccine Research","Yale University","Scientific Research","Scientific Research",08/2022,"$316,000"
"Yale University — Inflammation Control Research","Yale University","Scientific Research","Scientific Research",10/2024,"$282,000"
"Yale University — LLM Persuasiveness Evaluation","Yale University","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2024,"$596,200"
"Yale University — Malaria Vaccine Research (2022)","Yale University","Scientific Research","Scientific Research",09/2022,"$257,193"
"Yale University — Malaria Vaccine Research (Richard Bucala)","Yale University","Scientific Research","Scientific Research; Global Health & Development",06/2021,"$360,000"
"Yale University — Migration Research in Nepal","Yale University","Global Health & Development","Global Health & Development",01/2022,"$276,981"
